Year,County_of_Residence,County_of_Residence_FIPS,Maternal_Morbidity_Desc,Maternal_Morbidity_YN,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
2018-01-01,"Richland County, SC",45079,None checked,1,4651,28.81,38.12,38.23,3174.05,28.79,11.69
2018-01-01,"Jefferson County, TX",48245,None checked,1,3433,27.05,38.2,38.23,3187.7,27.74,10.38
2018-01-01,"Charlotte County, FL",12015,None checked,1,1029,28.04,38.32,38.48,3214.14,27.66,9.36
2018-01-01,"Unidentified Counties, KY",21999,None checked,1,32809,26.74,38.2,38.48,3258.07,28.27,11.93
2018-01-01,"Jackson County, MO",29095,None checked,1,8949,28.11,38.4,38.48,3233.61,27.5,10.53
2018-01-01,"Robeson County, NC",37155,None checked,1,1682,26.37,38.36,38.48,3161.97,28.6,9.71
2018-01-01,"Clark County, OH",39023,None checked,1,1534,26.54,38.29,38.48,3265.59,28.62,10.27
2018-01-01,"Charleston County, SC",45019,None checked,1,4763,30.02,38.3,38.48,3225.55,26.53,10.68
2018-01-01,"Ellis County, TX",48139,None checked,1,2200,28.09,38.35,38.48,3291.96,27.89,10.16
2018-01-01,"Grayson County, TX",48181,None checked,1,1657,26.71,38.27,38.48,3241.9,27.59,11.47
2018-01-01,"Suffolk County, MA",25025,None checked,1,8910,31.16,38.59,38.73,3245.01,26.06,11.84
2018-01-01,"Allegan County, MI",26005,None checked,1,1387,28.5,38.58,38.73,3388.72,27.93,12.0
2018-01-01,"Eaton County, MI",26045,None checked,1,1090,28.43,38.79,38.73,3345.81,28.15,14.54
2018-01-01,"Jackson County, MI",26075,None checked,1,1732,27.33,38.5,38.73,3266.39,28.2,12.11
2018-01-01,"Albany County, NY",36001,None checked,1,2783,30.08,38.72,38.73,3305.22,27.56,12.12
2018-01-01,"Chautauqua County, NY",36013,None checked,1,1248,27.31,38.5,38.73,3268.43,28.08,10.87
2018-01-01,"Kings County, NY",36047,None checked,1,38151,30.39,38.68,38.73,3236.95,25.05,10.96
2018-01-01,"Davidson County, NC",37057,None checked,1,1715,27.4,38.22,38.73,3229.61,28.01,13.24
2018-01-01,"Union County, NC",37179,None checked,1,2422,29.75,38.53,38.73,3320.47,27.11,12.38
2018-01-01,"Chesterfield County, VA",51041,None checked,1,3826,29.93,38.44,38.73,3289.99,27.67,11.35
2018-01-01,"Waukesha County, WI",55133,None checked,1,3806,31.19,38.49,38.73,3366.81,26.5,13.34
2018-01-01,"Santa Cruz County, CA",06087,None checked,1,2422,30.63,38.8,38.98,3344.57,26.58,12.74
2018-01-01,"Unidentified Counties, NH",33999,None checked,1,2669,28.98,38.83,38.98,3364.92,27.49,12.49
2018-01-01,"Bexar County, TX",48029,None checked,1,26398,28.25,38.18,38.31,3226.57,27.76,10.75
2018-01-01,"Taylor County, TX",48441,None checked,1,2026,26.96,38.16,38.31,3227.05,27.51,9.72
2018-01-01,"Benton County, AR",05007,None checked,1,3722,28.31,38.31,38.56,3290.08,27.05,11.37
2018-01-01,"Arapahoe County, CO",08005,None checked,1,7314,29.85,38.51,38.56,3179.54,26.41,10.18
2018-01-01,"Leon County, FL",12073,None checked,1,2900,28.73,38.4,38.56,3216.62,27.5,11.29
2018-01-01,"Tippecanoe County, IN",18157,None checked,1,2128,28.31,38.45,38.56,3283.45,27.32,10.98
2018-01-01,"Macomb County, MI",26099,None checked,1,9002,29.26,38.4,38.56,3257.28,27.58,12.59
2018-01-01,"Clay County, MO",29047,None checked,1,3059,29.09,38.46,38.56,3309.79,27.2,11.3
2018-01-01,"Unidentified Counties, NM",35999,None checked,1,9210,26.94,38.43,38.56,3177.58,27.73,10.0
2018-01-01,"Ashtabula County, OH",39007,None checked,1,1081,27.12,38.4,38.56,3280.92,27.83,10.05
2018-01-01,"Fairfield County, OH",39045,None checked,1,1630,28.68,38.42,38.56,3281.22,27.02,11.49
2018-01-01,"Beaufort County, SC",45013,None checked,1,1903,28.41,38.45,38.56,3260.45,26.93,11.73
2018-01-01,"Minnehaha County, SD",46099,None checked,1,2858,28.94,38.64,38.56,3312.17,26.77,11.36
2018-01-01,"Bell County, TX",48027,None checked,1,5863,27.14,38.36,38.56,3229.81,27.31,11.48
2018-01-01,"Johnson County, TX",48251,None checked,1,2099,27.36,38.42,38.56,3312.52,27.8,9.36
2018-01-01,"Unidentified Counties, UT",49999,None checked,1,6364,28.07,38.34,38.56,3232.84,26.47,11.13
2018-01-01,"Butte County, CA",06007,None checked,1,2406,28.79,38.77,38.81,3344.95,27.4,11.13
2018-01-01,"Placer County, CA",06061,None checked,1,3600,30.99,38.78,38.81,3371.02,26.01,12.15
2018-01-01,"San Francisco County, CA",06075,None checked,1,8575,33.32,38.74,38.81,3270.84,24.09,11.1
2018-01-01,"Solano County, CA",06095,None checked,1,4950,29.55,38.68,38.81,3328.52,27.66,11.36
2018-01-01,"Bartow County, GA",13015,None checked,1,1158,27.35,38.42,38.81,3291.14,28.57,12.27
2018-01-01,"Hampden County, MA",25013,None checked,1,4807,28.55,38.56,38.81,3280.68,27.93,11.3
2018-01-01,"Hennepin County, MN",27053,None checked,1,15606,30.92,38.7,38.81,3314.4,26.52,11.99
2018-01-01,"Wright County, MN",27171,None checked,1,1751,29.86,38.63,38.81,3424.86,27.32,11.57
2018-01-01,"Missoula County, MT",30063,None checked,1,1041,29.57,38.56,38.81,3271.57,26.0,10.98
2018-01-01,"Richmond County, NY",36085,None checked,1,5131,30.79,38.61,38.81,3234.8,26.02,12.92
2018-01-01,"Henderson County, NC",37089,None checked,1,1072,28.23,38.54,38.81,3299.08,27.1,13.43
2018-01-01,"Pickens County, SC",45077,None checked,1,1129,27.13,38.52,38.81,3317.34,27.87,12.85
2018-01-01,"Pierce County, WA",53053,None checked,1,11319,28.85,38.64,38.81,3337.88,27.62,11.08
2018-01-01,"Centre County, PA",42027,None checked,1,1135,30.06,38.96,39.06,3368.32,26.08,12.84
2018-01-01,"Ouachita Parish, LA",22073,None checked,1,2061,27.1,37.82,37.81,3094.44,29.11,11.6
2018-01-01,"Cameron County, TX",48061,None checked,1,6259,26.83,38.03,38.14,3192.23,28.52,11.12
2018-01-01,"Lee County, AL",01081,None checked,1,1767,28.17,38.24,38.39,3214.95,27.47,12.89
2018-01-01,"Unidentified Counties, AR",05999,None checked,1,20198,26.31,38.22,38.39,3215.15,28.49,10.38
2018-01-01,"Unidentified Counties, GA",13999,None checked,1,40392,26.98,38.18,38.39,3198.89,28.48,11.25
2018-01-01,"Delaware County, IN",18035,None checked,1,1055,27.38,38.3,38.39,3287.21,28.32,11.61
2018-01-01,"Tangipahoa Parish, LA",22105,None checked,1,1907,26.99,38.39,38.39,3186.25,28.43,11.22
2018-01-01,"Muskegon County, MI",26121,None checked,1,2022,26.94,38.14,38.39,3215.56,28.39,11.02
2018-01-01,"Cleveland County, OK",40027,None checked,1,2810,28.41,38.2,38.39,3282.35,27.54,10.96
2018-01-01,"Horry County, SC",45051,None checked,1,3123,28.07,38.23,38.39,3262.73,27.8,12.6
2018-01-01,"Coconino County, AZ",04005,None checked,1,1478,28.19,38.52,38.64,3230.74,26.91,10.5
2018-01-01,"Weld County, CO",08123,None checked,1,4204,28.45,38.59,38.64,3230.06,27.09,11.62
2018-01-01,"Unidentified Counties, CO",08999,None checked,1,7948,29.0,38.55,38.64,3153.65,26.34,10.58
2018-01-01,"Pasco County, FL",12101,None checked,1,5028,28.62,38.43,38.64,3273.98,27.11,10.88
2018-01-01,"Unidentified Counties, NE",31999,None checked,1,10639,28.17,38.53,38.64,3324.97,27.54,11.14
2018-01-01,"Middlesex County, NJ",34023,None checked,1,8789,30.8,38.5,38.64,3239.74,26.52,10.69
2018-01-01,"Dona Ana County, NM",35013,None checked,1,2267,27.14,38.38,38.64,3221.96,27.72,11.22
2018-01-01,"Suffolk County, NY",36103,None checked,1,14321,30.89,38.47,38.64,3266.64,26.99,11.01
2018-01-01,"Greene County, OH",39057,None checked,1,1700,28.8,38.47,38.64,3327.35,27.47,12.0
2018-01-01,"Stark County, OH",39151,None checked,1,4035,27.86,38.49,38.64,3269.29,27.86,10.95
2018-01-01,"Rock County, WI",55105,None checked,1,1836,27.94,38.31,38.64,3281.08,28.49,11.79
2018-01-01,"El Dorado County, CA",06017,None checked,1,1652,30.49,38.73,38.89,3328.62,25.83,10.68
2018-01-01,"St. Mary's County, MD",24037,None checked,1,1294,29.26,38.67,38.89,3348.59,27.52,11.63
2018-01-01,"Essex County, MA",25009,None checked,1,8256,30.38,38.66,38.89,3307.13,26.59,11.62
2018-01-01,"Hillsborough County, NH",33011,None checked,1,4027,29.84,38.73,38.89,3339.3,27.3,12.56
2018-01-01,"Multnomah County, OR",41051,None checked,1,7962,30.85,38.76,38.89,3332.01,26.33,11.43
2018-01-01,"Lancaster County, PA",42071,None checked,1,6683,28.84,38.71,38.89,3364.69,26.4,10.74
2018-01-01,"Pueblo County, CO",08101,None checked,1,1802,27.22,38.12,38.22,3078.1,27.51,9.98
2018-01-01,"Ascension Parish, LA",22005,None checked,1,1656,28.78,38.19,38.22,3222.37,27.9,11.07
2018-01-01,"San Bernardino County, CA",06071,None checked,1,28614,28.67,38.42,38.47,3246.3,27.51,11.24
2018-01-01,"Duval County, FL",12031,None checked,1,12809,28.45,38.27,38.47,3196.31,27.55,9.84
2018-01-01,"Clarke County, GA",13059,None checked,1,1339,28.68,38.28,38.47,3179.02,27.76,10.01
